episode,total_reward
25,-27
26,-52
27,-2027
28,-1039
29,-69
30,-1006
31,-2012
32,-1029
33,-1109
34,-1030
35,-1035
36,-1020
37,-1040
38,944
39,-1041
40,-1018
41,-1060
42,-1033
43,-54
44,-1008
45,-1037
46,-49
47,-1054
48,-1024
49,-1007
50,-1011
51,-1036
52,-1024
53,987
54,-1004
55,-60
56,-1010
57,951
58,-60
59,-70
60,-121
61,-37
62,-55
63,-2009
64,-1013
65,-1013
66,922
67,-1013
68,-1005
69,-1007
70,-1049
71,-1003
72,-1004
73,983
74,-1065
75,-1041
76,-1035
77,-1077
78,-39
79,-1020
80,-1043
81,-1007
82,-1004
83,-1052
84,988
85,-1005
86,-1051
87,940
88,-12
89,-1034
90,-52
91,-8
92,-1006
93,-1049
94,-1003
95,-1025
96,-1003
97,-18
98,-1053
99,-1026
100,-1018
101,979
102,-1015
103,-1054
104,-1019
105,968
106,-55
107,-2039
108,-1023
109,-139
110,-1011
111,-1047
112,924
113,-1022
114,-35
115,-1025
116,973
117,-1058
118,-1015
119,-1059
120,-1026
121,-1013
122,952
123,-1017
124,-1023
125,-1084
126,-1003
127,-1020
128,-1014
129,-1023
130,-1008
131,-1016
132,-2028
133,-49
134,-1018
135,-46
136,-31
137,-1113
138,-1072
139,-66
140,-1039
141,966
142,-1032
143,915
144,-89
145,-1078
146,-98
147,-1021
148,-1006
149,-1058
150,-1144
151,957
152,-97
153,962
154,-1006
155,961
156,-2010
157,-28
158,-1016
159,-88
160,-1017
161,-1004
162,-1024
163,922
164,-17
165,978
166,-1020
167,-70
168,-1006
169,-32
170,967
171,980
172,-1033
173,-1010
174,-1008
175,-1057
176,-1106
177,951
178,-1012
179,-2113
180,-1076
181,-1093
182,-1025
183,-1024
184,-34
185,-1059
186,888
187,-44
188,968
189,-1051
190,-2003
191,-1016
192,893
193,-1007
194,969
195,-1018
196,-1045
197,940
198,988
199,-2065
200,-1071
201,-1044
202,952
203,-22
204,-2003
205,-1015
206,-1035
207,986
208,956
209,-1084
210,-78
211,-67
212,-31
213,-1052
214,-1032
215,-1012
216,-1028
217,-1062
218,-1016
219,-1035
220,980
221,-1021
222,-2049
223,-1075
224,-1089
225,887
226,-1037
227,-69
228,-1037
229,-54
230,982
231,-1052
232,-1053
233,-1031
234,-1015
235,-2014
236,918
237,-1017
238,-1003
239,-1082
240,-1057
241,-1051
242,-1016
243,-1008
244,-1047
245,-1022
246,-1009
247,-1048
248,-1041
249,-1034
250,-1026
251,-1031
252,-2005
253,-1014
254,-1024
255,-1104
256,-1136
257,-1015
258,-1022
259,-1028
260,-1006
261,931
262,-32
263,920
264,-41
265,968
266,-2039
267,-1018
268,-1013
269,-1013
270,926
271,-1008
272,-1024
273,972
274,-1028
275,-1050
276,-1095
277,-1038
278,896
279,-1012
280,-1055
281,-1013
282,948
283,-2007
284,987
285,-1173
286,-1029
287,-1085
288,-1007
289,-1046
290,982
291,-1016
292,-1054
293,-1017
294,-1040
295,-1038
296,-1012
297,-1023
298,-1011
299,-1035
300,-1012
301,909
302,-1078
303,950
304,980
305,-1018
306,-1006
307,982
308,-1003
309,958
310,-1007
311,851
312,978
313,-1031
314,939
315,-1044
316,-1008
317,-1055
318,974
319,925
320,-1021
321,-1053
322,-86
323,-1042
324,-1021
325,-1054
326,-54
327,-1022
328,-28
329,-1020
330,-1003
331,-75
332,-1019
333,-1046
334,-49
335,-1025
336,-1032
337,-50
338,-99
339,-1097
340,-2044
341,-1018
342,-1023
343,969
344,-126
345,-1042
346,963
347,-79
348,-18
349,960
350,981
351,-1040
352,-51
353,-36
354,-64
355,-1024
356,-2082
357,-63
358,988
359,-1008
360,-1027
361,935
362,-1026
363,-1084
364,-39
365,-24
366,-1024
367,915
368,-1023
369,-1018
370,-1009
371,-1010
372,959
373,-73
374,-1035
375,-1029
376,-1031
377,-169
378,-1054
379,-1008
380,-61
381,-1003
382,-1060
383,970
384,944
385,965
386,-1011
387,900
388,970
389,-48
390,-1035
391,-1025
392,950
393,-72
394,-124
395,-2024
396,-1026
397,-1030
398,-2070
399,-1028
400,946
401,-2004
402,950
403,-1098
404,-1036
405,-1009
406,-68
407,-1059
408,-1007
409,-1011
410,-31
411,-31
412,968
413,-48
414,-1019
415,936
416,941
417,981
418,-1006
419,981
420,-1019
421,-1024
422,-1026
423,974
424,-48
425,-1048
426,930
427,948
428,-1013
429,-1015
430,-1004
431,984
432,-1026
433,-44
434,-1030
435,977
436,-1012
